"S1.1","S1.2","S1.3","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3"
"Glyma17g16741.1",0.802444419,2.195941712,0.802444419,4.08008541,2.750602782,3.077327899,3.525391014,2.664562324,2.134442499
"Glyma07g38090.1",6.111114732,6.187313378,5.40440493,8.786475537,8.572368101,8.484244782,9.674460476,9.809875381,10.49752227
"Glyma07g29031.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma10g05280.2",0.802444419,1.806181881,1.763406798,0.802444419,0.802444419,2.485804332,0.802444419,2.519621769,0.802444419
"Glyma18g43190.2",0.802444419,2.195941712,1.488107454,3.508926494,2.299330519,3.077327899,4.029452583,3.817761013,3.680652147
"Glyma18g03980.4",6.393331479,5.765632398,6.494409624,6.044943819,6.013341945,5.716258344,6.63505931,6.415551049,6.036940311
"Glyma08g22410.1",6.047376089,5.538686812,5.848650688,5.467097437,5.005547983,4.967301182,4.820300376,5.036853374,4.771186028
"Glyma16g03750.1",4.768720191,5.48299592,4.71439929,5.467097437,5.685068974,5.562365272,6.196231527,5.572069253,4.931168661
"Glyma20g02970.2",3.189934035,3.691498409,3.593010849,2.504094126,4.14412898,3.930005221,2.717845277,3.019892689,2.134442499
"Glyma09g12390.1",3.60822179,3.691498409,3.543105605,3.508926494,4.109900021,3.077327899,4.554162475,3.758838685,2.979755932
"Glyma14g35110.1",0.802444419,0.802444419,1.488107454,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma08g32690.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma07g15120.1",3.928861976,3.691498409,2.985693771,0.802444419,0.802444419,2.024570893,0.802444419,1.374338448,0.802444419
"Glyma15g23130.2",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma05g03930.2",4.600559949,4.259121106,4.420187929,3.82347168,3.925073038,4.697669934,3.669489075,3.380640935,2.629277496
"Glyma14g33650.3",5.400091136,5.301681164,5.348547016,5.854385506,5.539702707,5.641367839,5.913793844,5.252342192,5.634931207
"Glyma03g26490.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,1.374338448,0.802444419
"Glyma06g01870.1",7.920719245,8.201470998,7.633428403,7.404728254,7.954721092,8.277474814,7.887511132,8.036383384,8.05045671
"Glyma03g39030.1",0.802444419,0.802444419,0.802444419,0.802444419,1.495619672,0.802444419,0.802444419,1.374338448,0.802444419
"Glyma05g37060.2",3.60822179,2.480108018,2.528801926,0.802444419,3.617015097,4.164186463,4.315904794,4.908943616,4.853410018
"Glyma02g08940.1",5.055331333,6.567624321,6.226875508,6.879515646,5.985555457,6.50962136,6.286602886,6.692345932,6.764902262
"Glyma13g22940.1",14.60743709,14.38740117,14.74306824,6.70232622,7.930653093,7.534760425,5.855914104,5.52056758,5.205851824
"Glyma18g12632.1",0.802444419,0.802444419,1.488107454,2.504094126,2.299330519,2.024570893,1.960025921,1.780646184,2.134442499
"Glyma16g04560.5",3.189934035,3.475608771,4.525144998,6.41079062,5.552393466,5.521175422,7.351915237,7.107018343,6.867042744
"Glyma16g26250.2",0.802444419,2.708883726,3.732773317,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma09g35061.1",5.837262082,5.718202036,5.73352187,3.100206401,3.006235812,3.295618641,3.525391014,3.019892689,2.629277496
"Glyma08g43490.1",4.768720191,4.894838485,4.336059024,4.93540082,4.650743819,4.769986034,4.820300376,4.88193267,4.771186028
"Glyma17g00333.1",4.409914796,4.190730225,4.920405151,4.297148571,4.24211383,2.485804332,2.970397346,3.788610379,4.269312365
"Glyma12g32120.1",0.802444419,2.480108018,2.284122113,0.802444419,1.981549201,2.024570893,0.802444419,1.780646184,2.629277496
"Glyma13g30320.2",0.802444419,0.802444419,5.275526432,0.802444419,1.773750117,0.802444419,0.802444419,1.606099385,2.629277496
"Glyma08g01390.2",0.802444419,0.802444419,0.802444419,0.802444419,2.152379961,2.024570893,0.802444419,0.802444419,0.802444419
"Glyma06g14841.1",5.294105324,6.021448446,5.53523588,3.100206401,3.514821475,3.796464751,1.960025921,2.79429905,2.629277496
"Glyma20g34780.6",3.189934035,1.806181881,2.731821462,2.504094126,2.429190874,2.024570893,2.717845277,2.967061604,2.134442499
"Glyma13g17650.2",7.167750184,7.280809587,6.675336066,6.315386025,6.505820237,6.812147246,6.750674874,6.575363749,6.743576357
"Glyma05g19250.2",4.409914796,2.902131009,3.198162033,0.802444419,2.750602782,2.024570893,2.717845277,2.854499165,2.979755932
"Glyma03g31140.3",4.600559949,3.353473394,4.013009211,3.100206401,3.514821475,3.077327899,3.364437003,3.565451044,0.802444419
"Glyma10g06110.1",2.57615938,3.587762083,2.731821462,2.504094126,2.841576602,4.051948721,3.669489075,3.212346128,2.134442499
"Glyma19g24060.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma12g27340.2",0.802444419,3.963154457,3.818717943,4.93540082,3.75743533,3.295618641,4.991751957,5.108459303,4.683947725
"Glyma20g25140.1",2.57615938,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma15g05630.1",5.591163423,5.425061533,5.95525266,4.651633371,5.211831171,4.051948721,5.913793844,5.826452572,6.071597943
"Glyma08g03330.1",8.729380607,7.958067166,8.211934518,4.800537794,5.938019309,6.098559621,2.400776787,2.440040652,0.802444419
"Glyma09g08586.1",3.928861976,3.587762083,3.976240132,5.854385506,4.948985229,5.562365272,5.449142901,5.154285865,5.075072909
"Glyma03g41570.1",5.400091136,4.712672381,5.522675481,5.920745874,6.022486269,5.343497585,5.732669997,5.537940464,5.004924918
"Glyma01g07366.1",2.57615938,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma14g36910.6",3.60822179,2.480108018,3.687729849,2.504094126,2.54603671,2.024570893,2.400776787,1.780646184,2.979755932
"Glyma03g00850.2",3.60822179,4.712672381,4.27707327,4.485384761,4.303866771,4.455765278,4.399832955,4.238497916,3.85248678
"Glyma09g29401.2",3.60822179,3.070193613,3.381516002,3.100206401,2.54603671,2.815709867,2.970397346,3.119595914,2.629277496
"Glyma13g21310.1",2.57615938,0.802444419,1.969199029,4.93540082,5.005547983,5.435078974,5.666851582,5.754000623,5.767735021
"Glyma20g34160.1",4.409914796,4.118869227,3.687729849,3.82347168,3.843760721,3.796464751,3.525391014,4.527976936,4.491656415
"Glyma10g30160.3",4.189719725,4.324366604,3.776406608,4.297148571,4.720092494,3.648803158,4.879759784,4.280673693,4.491656415
"Glyma10g12361.1",3.189934035,3.219282553,3.437521613,4.800537794,4.074821593,4.051948721,3.919421798,4.216930262,4.005527029
"Glyma04g15066.1",0.802444419,1.806181881,1.488107454,0.802444419,1.773750117,2.024570893,0.802444419,1.780646184,0.802444419
"Glyma15g19711.1",0.802444419,0.802444419,1.488107454,0.802444419,1.495619672,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma09g34120.3",0.802444419,0.802444419,1.763406798,0.802444419,2.429190874,2.815709867,0.802444419,0.802444419,2.134442499
"Glyma10g39141.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma05g07910.1",6.62923669,5.643990937,6.338482734,5.375348724,5.741556707,5.343497585,5.04462986,5.16551754,5.267030324
"Glyma05g31110.1",7.731015314,7.689861718,7.546259196,6.70232622,7.478267032,7.198808186,6.371640456,6.396649023,6.036940311
"Glyma12g18316.1",5.179675485,5.364694632,4.861654348,5.058658307,5.195728876,5.085207333,4.693415826,4.645266128,5.004924918
"Glyma12g02510.3",3.928861976,3.587762083,3.687729849,3.508926494,3.964029309,3.796464751,3.525391014,3.697318402,4.143559112
"Glyma02g30052.1",4.409914796,4.503860824,4.36465844,3.82347168,3.88500586,4.051948721,3.181867923,3.758838685,3.680652147
"Glyma01g40280.1",2.57615938,1.806181881,1.763406798,0.802444419,1.773750117,0.802444419,1.960025921,1.374338448,0.802444419
"Glyma13g23020.4",3.60822179,3.219282553,2.985693771,0.802444419,1.773750117,2.485804332,1.960025921,2.161653477,2.134442499
"Glyma19g28476.1",6.831915819,7.485707601,6.890787985,8.821605642,8.982550183,8.778496595,10.44740786,10.2387331,10.69648511
"Glyma12g24840.1",13.4826462,13.75697362,13.20921226,13.92019765,14.40621785,14.8760883,14.26978321,14.80701285,15.57001226
"Glyma11g32112.3",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma11g02730.1",0.802444419,2.480108018,3.131044685,0.802444419,1.773750117,0.802444419,0.802444419,1.374338448,2.134442499
"Glyma20g30290.1",0.802444419,0.802444419,1.969199029,0.802444419,2.152379961,0.802444419,0.802444419,2.262366414,2.629277496
"Glyma10g36940.3",4.600559949,3.788031682,4.117892782,4.651633371,5.211831171,4.268174867,5.09562789,4.987050165,5.075072909
"Glyma14g01030.1",5.837262082,5.511110859,5.898086248,2.504094126,2.429190874,0.802444419,3.669489075,3.599612774,4.143559112
"Glyma12g29876.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,1.606099385,2.629277496
